Title,Company,Location,Job Type,Skills,Date Posted,URL,Source,Scraped At
Freelance Python Consultant,TechStack Agency,Remote,Freelance,N/A,2026-05-09T11:51:27+00:00,https://www.python.org/jobs/7779/,Python.org,2026-05-24 11:51
Data Analyst,Infosys Limited,Bengaluru | 2 - 5 yrs,N/A,"Python, SQL, Power BI, Excel",Posted few days ago,https://www.timesjobs.com/job-detail/data-analyst-infosys-bengaluru-JEUID182736.html,TimesJobs,2026-05-24 11:51
Senior Data Analyst,Wipro Technologies,Hyderabad | 4 - 8 yrs,N/A,"Tableau, SQL, Python, Data Visualization",Posted few days ago,https://www.timesjobs.com/job-detail/senior-data-analyst-wipro-hyderabad-JEUID182740.html,TimesJobs,2026-05-24 11:51
Data Analyst – Business Intelligence,Accenture India,Pune | 2 - 6 yrs,N/A,"SQL, Python, Power BI, Excel, Statistics",Posted 1 week ago,https://www.timesjobs.com/job-detail/bi-data-analyst-accenture-pune-JEUID182745.html,TimesJobs,2026-05-24 11:51
Junior Data Analyst,Tata Consultancy Services,Chennai | 0 - 2 yrs,N/A,"SQL, MS Excel, Reporting Tools",Posted 3 days ago,https://www.timesjobs.com/job-detail/junior-data-analyst-tcs-chennai-JEUID182750.html,TimesJobs,2026-05-24 11:51
Data Analyst (Python + SQL),HCL Technologies,Noida | 3 - 5 yrs,N/A,"Python, SQL, NumPy, Pandas, Matplotlib",Posted few days ago,https://www.timesjobs.com/job-detail/data-analyst-hcl-noida-JEUID182755.html,TimesJobs,2026-05-24 11:51
Marketing Data Analyst,Flipkart Internet Pvt Ltd,Bengaluru | 2 - 4 yrs,N/A,"Google Analytics, SQL, Python, A/B Testing",Posted 1 week ago,https://www.timesjobs.com/job-detail/marketing-analyst-flipkart-bengaluru-JEUID182760.html,TimesJobs,2026-05-24 11:51
Financial Data Analyst,HDFC Bank,Mumbai | 3 - 7 yrs,N/A,"Excel, SQL, VBA, Financial Modeling",Posted 5 days ago,https://www.timesjobs.com/job-detail/financial-analyst-hdfc-mumbai-JEUID182765.html,TimesJobs,2026-05-24 11:51
Operations Data Analyst,Amazon Development Centre India,Hyderabad | 2 - 5 yrs,N/A,"SQL, Python, Tableau, Excel, QuickSight",Posted 2 days ago,https://www.timesjobs.com/job-detail/operations-analyst-amazon-hyderabad-JEUID182770.html,TimesJobs,2026-05-24 11:51
HR Data Analyst,Deloitte India,Gurgaon | 1 - 3 yrs,N/A,"Excel, Power BI, HR Analytics, SQL",Posted 1 week ago,https://www.timesjobs.com/job-detail/hr-data-analyst-deloitte-gurgaon-JEUID182775.html,TimesJobs,2026-05-24 11:51
Supply Chain Data Analyst,Mahindra & Mahindra,Pune | 3 - 6 yrs,N/A,"SAP, Excel, SQL, Python, Logistics Analytics",Posted 3 days ago,https://www.timesjobs.com/job-detail/supply-chain-analyst-mahindra-pune-JEUID182780.html,TimesJobs,2026-05-24 11:51
Data Analyst – E-commerce,Myntra Designs Pvt Ltd,Bengaluru | 2 - 4 yrs,N/A,"Python, SQL, Hive, Google Analytics",Posted 4 days ago,https://www.timesjobs.com/job-detail/data-analyst-myntra-bengaluru-JEUID182785.html,TimesJobs,2026-05-24 11:51
Risk Data Analyst,ICICI Bank,Mumbai | 4 - 8 yrs,N/A,"SAS, SQL, Risk Modeling, Excel",Posted 6 days ago,https://www.timesjobs.com/job-detail/risk-analyst-icici-bank-mumbai-JEUID182790.html,TimesJobs,2026-05-24 11:51
Healthcare Data Analyst,Apollo Hospitals,Chennai | 2 - 5 yrs,N/A,"SQL, Power BI, Python, Healthcare Informatics",Posted 1 week ago,https://www.timesjobs.com/job-detail/healthcare-data-analyst-apollo-chennai-JEUID182795.html,TimesJobs,2026-05-24 11:51
Digital Analytics Specialist,Reliance Jio Infocomm,Mumbai | 3 - 6 yrs,N/A,"Google Analytics, Python, SQL, Tableau, SEO",Posted 2 days ago,https://www.timesjobs.com/job-detail/digital-analytics-jio-mumbai-JEUID182800.html,TimesJobs,2026-05-24 11:51
Product Data Analyst,Swiggy,Bengaluru | 2 - 5 yrs,N/A,"Python, SQL, Mixpanel, A/B Testing, Looker",Posted 3 days ago,https://www.timesjobs.com/job-detail/product-analyst-swiggy-bengaluru-JEUID182805.html,TimesJobs,2026-05-24 11:51
Research Data Analyst,KPMG India,Bengaluru | 2 - 4 yrs,N/A,"R, Python, SPSS, Data Visualization, Statistics",Posted 5 days ago,https://www.timesjobs.com/job-detail/research-analyst-kpmg-bengaluru-JEUID182810.html,TimesJobs,2026-05-24 11:51
Telecom Data Analyst,Airtel India,Gurgaon | 3 - 5 yrs,N/A,"SQL, Python, Hive, Spark, Tableau",Posted 1 week ago,https://www.timesjobs.com/job-detail/telecom-analyst-airtel-gurgaon-JEUID182815.html,TimesJobs,2026-05-24 11:51
Retail Data Analyst,DMart (Avenue Supermarts),Mumbai | 2 - 4 yrs,N/A,"Excel, SQL, MicroStrategy, Inventory Analytics",Posted 4 days ago,https://www.timesjobs.com/job-detail/retail-analyst-dmart-mumbai-JEUID182820.html,TimesJobs,2026-05-24 11:51
Insurance Analytics Analyst,LIC of India,New Delhi | 3 - 7 yrs,N/A,"Actuarial Science, SQL, Excel, SAS",Posted 1 week ago,https://www.timesjobs.com/job-detail/insurance-analytics-lic-delhi-JEUID182825.html,TimesJobs,2026-05-24 11:51
Fresher Data Analyst,Cognizant Technology Solutions,Hyderabad | 0 - 1 yr,N/A,"SQL, Excel, Python basics, Analytical Thinking",Posted 2 days ago,https://www.timesjobs.com/job-detail/fresher-data-analyst-cognizant-hyderabad-JEUID182830.html,TimesJobs,2026-05-24 11:51
